time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-10T04:46:18.778Z,61.7314,-148.267,12,2.8,ml,,,,0.98,ak,ak15252846,2017-02-10T04:51:54.461Z,"31km ESE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-10T04:45:44.208Z,61.712,-148.2298,9.8,0.9,ml,,,,0.91,ak,ak15252837,2017-02-10T04:48:43.342Z,"34km ESE of Sutton-Alpine, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-02-10T04:42:20.713Z,61.7382,-148.229,10.8,1.4,ml,,,,0.64,ak,ak15252835,2017-02-10T04:48:42.896Z,"33km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-10T03:56:11.471Z,38.3874,-118.8917,14.5,1.3,ml,6,245.24,0.333,0.0954,nn,nn00577743,2017-02-10T17:11:39.800Z,"27km WSW of Hawthorne, Nevada",earthquake,,10.4,0.27,4,reviewed,nn,nn
2017-02-10T03:55:16.487Z,61.7449,-148.227,13.2,1.6,ml,,,,0.52,ak,ak15252831,2017-02-10T04:01:24.008Z,"33km E of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-10T03:55:11.400Z,19.224,-65.2433,78,3.4,Md,7,313.2,0.91179001,0.27,pr,pr17041004,2017-02-10T08:52:10.306Z,"102km N of Culebra, Puerto Rico",earthquake,4.7,7.3,0,4,reviewed,pr,pr
2017-02-10T03:44:41.150Z,38.7989998,-122.8239975,5.27,1.24,md,10,146,0.02414,0.08,nc,nc72762386,2017-02-10T04:01:02.195Z,"6km WNW of The Geysers, California",earthquake,0.88,2.11,0.44,2,automatic,nc,nc
2017-02-10T03:39:16.720Z,38.8083344,-122.8153305,1.07,2.35,md,20,124,0.01083,0.03,nc,nc72762381,2017-02-10T03:43:02.170Z,"6km NW of The Geysers, California",earthquake,0.22,0.32,0.11,9,automatic,nc,nc
2017-02-10T03:34:16.100Z,19.4325,-65.111,65,3.4,Md,9,309.6,1.13008063,0.3,pr,pr17041003,2017-02-10T08:22:31.735Z,"122km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.8,12.4,0,6,reviewed,pr,pr
2017-02-10T03:00:43.746Z,36.702,-116.4567,9.7,1.2,ml,23,53.83,0.11,0.1241,nn,nn00577737,2017-02-10T03:26:40.605Z,"35km SE of Beatty, Nevada",earthquake,,1.7,0.28,15,reviewed,nn,nn
2017-02-10T02:58:55.810Z,-17.8978,-12.9016,10,5.3,mb,,68,25.465,1.04,us,us20008iu2,2017-02-10T03:18:11.040Z,"Southern Mid-Atlantic Ridge",earthquake,11.7,1.9,0.058,107,reviewed,us,us
2017-02-10T02:57:10.120Z,44.876,-112.0238333,5.99,0.8,md,6,99,0.294,0.05,mb,mb80198929,2017-02-10T15:09:29.590Z,"46km S of Virginia City, Montana",earthquake,0.32,6.22,0.253,4,reviewed,mb,mb
2017-02-10T02:55:34.500Z,19.4645,-65.0859,75,3.2,Md,5,334.8,1.16421661,0.1,pr,pr17041002,2017-02-10T03:58:08.782Z,"125km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.5,8.2,0,4,reviewed,pr,pr
2017-02-10T02:36:33.340Z,36.3301667,-89.5528333,8.73,1.59,md,18,58,0.04772,0.02,nm,nm60175441,2017-02-10T14:39:47.050Z,"9km SW of Tiptonville, Tennessee",earthquake,0.89,0.8,0.126,9,reviewed,nm,nm
2017-02-10T02:19:52.517Z,61.3319,-151.2032,69,1.6,ml,,,,0.39,ak,ak15252809,2017-02-10T02:26:16.468Z,"69km WSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-02-10T02:16:36.430Z,38.841835,-122.8326645,1.97,1.12,md,14,61,0.00392,0.02,nc,nc72762366,2017-02-10T02:33:03.053Z,"9km WNW of Cobb, California",earthquake,0.29,0.53,0.16,4,automatic,nc,nc
2017-02-10T01:56:04.770Z,34.0435,-117.1671667,16.45,0.99,ml,19,57,0.1337,0.23,ci,ci37580695,2017-02-10T14:12:30.213Z,"2km SE of Redlands, CA",earthquake,0.43,1.44,0.208,26,reviewed,ci,ci
2017-02-10T01:46:40.597Z,61.7968,-149.8348,26,1.8,ml,,,,0.61,ak,ak15252802,2017-02-10T01:52:09.380Z,"12km ENE of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-10T01:46:18.711Z,58.8635,-153.2432,3,3,ml,,,,0.98,ak,ak15252796,2017-02-10T01:58:31.357Z,"127km NNW of Kodiak Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-10T01:41:13.563Z,61.7076,-153.8798,0.3,1.7,ml,,,,0.3,ak,ak15252794,2017-02-10T01:52:09.157Z,"149km NNW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-02-10T01:24:56.800Z,19.1098,-66.4507,48,2.8,Md,10,270,0.63331228,0.25,pr,pr17041001,2017-02-10T03:57:23.520Z,"71km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.8,4.6,0,9,reviewed,pr,pr
2017-02-10T01:24:31.541Z,60.3549,-146.8486,9.9,1.9,ml,,,,0.62,ak,ak15252793,2017-02-10T01:32:34.685Z,"63km WSW of Cordova, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-10T01:00:36.330Z,38.8356667,-122.7829971,1.36,1.21,md,11,79,0.008632,0.02,nc,nc72762356,2017-02-10T01:17:02.934Z,"5km WNW of Cobb, California",earthquake,0.28,0.48,0.29,4,automatic,nc,nc
2017-02-10T00:53:45.990Z,19.3713341,-155.5008392,5.88,2.56,ml,53,32,0.04118,0.21,hv,hv61599926,2017-02-10T00:59:34.030Z,"18km N of Pahala, Hawaii",earthquake,0.29,1,0.3,3,automatic,hv,hv
2017-02-10T00:34:35.430Z,38.5413322,-122.9886703,3.78,1.96,md,8,182,0.1031,0.05,nc,nc72762351,2017-02-10T00:55:01.888Z,"4km N of Guerneville, California",earthquake,0.52,2.11,0.24,8,automatic,nc,nc
2017-02-10T00:31:55.892Z,61.459,-150.6602,47.1,2.7,ml,,,,0.77,ak,ak15252765,2017-02-10T00:57:43.040Z,"38km W of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-02-10T00:29:00.900Z,17.8654,-67.1365,11,2.1,Md,6,288,0.13564561,0.12,pr,pr17041000,2017-02-10T03:56:37.350Z,"13km SSE of Pole Ojea, Puerto Rico",earthquake,1.1,0.6,0,4,reviewed,pr,pr
2017-02-09T23:43:58.150Z,33.1543333,-116.4433333,12.89,1.22,ml,38,48,0.1157,0.16,ci,ci37580639,2017-02-10T01:11:29.844Z,"13km SSW of Borrego Springs, CA",earthquake,0.22,0.48,0.156,23,reviewed,ci,ci
2017-02-09T23:43:17.150Z,33.5945,-116.8103333,9.22,0.43,ml,18,116,0.0386,0.07,ci,ci37580631,2017-02-10T01:06:21.227Z,"13km WNW of Anza, CA",earthquake,0.25,0.31,0.11,11,reviewed,ci,ci
2017-02-09T23:31:17.679Z,61.2196,-150.8183,50.2,2.3,ml,,,,0.62,ak,ak15252746,2017-02-09T23:44:57.739Z,"49km W of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-02-09T22:49:09.200Z,38.8113327,-122.8263321,1.69,0.73,md,9,145,0.0175,0.07,nc,nc72762331,2017-02-09T23:06:07.717Z,"7km WNW of The Geysers, California",earthquake,0.44,0.54,0.06,3,automatic,nc,nc
2017-02-09T22:35:50.474Z,59.7148,-152.3182,67.7,1.6,ml,,,,0.19,ak,ak15252732,2017-02-09T22:45:10.427Z,"28km WSW of Anchor Point, Alaska",earthquake,,1.2,,,automatic,ak,ak
2017-02-09T22:23:10.640Z,35.9928333,-116.0828333,2.46,2.31,ml,17,100,0.1817,0.16,ci,ci37580607,2017-02-09T22:38:59.517Z,"17km E of Shoshone, CA",earthquake,0.23,0.96,0.14,24,reviewed,ci,ci
2017-02-09T22:18:08.150Z,61.6437,-151.0272,66.8,1.6,ml,,,,0.63,ak,ak15252725,2017-02-09T22:32:48.566Z,"53km WSW of Willow, Alaska",earthquake,,1,,,automatic,ak,ak
2017-02-09T22:14:57.000Z,16.8158,-85.8297,10,4.5,mb,,38,3.075,0.97,us,us20008it5,2017-02-10T06:18:01.828Z,"40km N of Savannah Bight, Honduras",earthquake,5.7,2,0.061,79,reviewed,us,us
2017-02-09T22:03:13.940Z,33.4831667,-116.4625,7.57,0.86,ml,23,84,0.09365,0.14,ci,ci37580599,2017-02-09T22:32:01.751Z,"21km ESE of Anza, CA",earthquake,0.22,0.83,0.116,16,reviewed,ci,ci
2017-02-09T22:03:03.500Z,33.4828333,-116.4633333,7.64,0.83,ml,25,84,0.09349,0.13,ci,ci37580591,2017-02-09T22:27:31.218Z,"21km ESE of Anza, CA",earthquake,0.18,0.7,0.117,20,reviewed,ci,ci
2017-02-09T21:58:59.874Z,63.1382,-150.5464,118.1,1.7,ml,,,,0.28,ak,ak15252717,2017-02-09T22:05:45.042Z,"84km WSW of Cantwell, Alaska",earthquake,,1.1,,,automatic,ak,ak
2017-02-09T21:50:54.070Z,3.2167,98.5126,47.83,4.3,mb,,106,0.662,0.62,us,us20008isy,2017-02-10T00:58:30.481Z,"13km N of Kabanjahe, Indonesia",earthquake,4,13,0.142,14,reviewed,us,us
2017-02-09T21:36:26.394Z,60.9974,-150.376,45.9,2.6,ml,,,,0.71,ak,ak15252703,2017-02-09T21:52:00.040Z,"35km SW of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-02-09T21:33:42.276Z,58.8669,-153.2109,14.6,2.3,ml,,,,0.61,ak,ak15252700,2017-02-09T21:45:01.880Z,"127km NNW of Kodiak Station, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-02-09T21:27:36.450Z,44.8876667,-111.4908333,2.03,1.08,md,5,134,0.201,0.02,mb,mb80198924,2017-02-10T15:04:23.030Z,"39km NW of West Yellowstone, Montana",earthquake,0.87,0.73,0.267,2,reviewed,mb,mb
2017-02-09T21:20:06.520Z,33.5,-116.7885,5.71,0.93,ml,30,38,0.078,0.09,ci,ci37580567,2017-02-09T22:16:29.180Z,"10km NE of Aguanga, CA",earthquake,0.13,0.56,0.121,22,reviewed,ci,ci
2017-02-09T21:14:01.220Z,64.4608,-149.3786,15.1,1.4,ml,,,,0.65,ak,ak15252697,2017-02-09T21:22:58.337Z,"18km SW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-09T21:01:05.180Z,42.0248333,-112.5733333,6.24,0.97,ml,5,166,0.1291,0.09,uu,uu60184292,2017-02-10T16:27:43.110Z,"32km SW of Malad City, Idaho",earthquake,0.63,4.06,0.115,2,reviewed,uu,uu
2017-02-09T20:56:13.830Z,33.7041667,-116.7331667,16.4,0.61,ml,27,99,0.02031,0.14,ci,ci37580559,2017-02-09T21:11:42.193Z,"4km SSW of Idyllwild, CA",earthquake,0.25,0.39,0.145,9,reviewed,ci,ci
2017-02-09T20:40:30.420Z,44.7475,-110.6621667,4.46,2.42,ml,10,160,0.03422,0.13,uu,uu60010180,2017-02-10T16:17:54.130Z,"34km NNE of Old Faithful Geyser, Wyoming",earthquake,0.54,0.38,0.073,2,reviewed,uu,uu
2017-02-09T20:40:14.210Z,44.747,-110.6665,3.87,1.96,ml,7,176,0.03277,0.14,uu,uu60184287,2017-02-10T16:04:01.390Z,"34km NNE of Old Faithful Geyser, Wyoming",earthquake,0.59,0.63,0.081,2,reviewed,uu,uu
2017-02-09T20:34:12.280Z,19.2736664,-154.6071625,16.39,1.85,md,47,304,0.3452,0.32,hv,hv61599741,2017-02-09T20:37:37.590Z,"39km ESE of Leilani Estates, Hawaii",earthquake,4.18,26.93,0.23,4,automatic,hv,hv
2017-02-09T20:10:54.060Z,33.3088333,-116.3331667,10.23,1.82,ml,72,30,0.03358,0.17,ci,ci37580527,2017-02-09T22:11:22.810Z,"7km NNE of Borrego Springs, CA",earthquake,0.15,0.3,0.133,23,reviewed,ci,ci
2017-02-09T19:30:45.910Z,47.3656667,-112.9981667,5,1.13,md,14,193,0.301,0.15,mb,mb80198869,2017-02-09T21:30:34.290Z,"42km ENE of Seeley Lake, Montana",earthquake,0.91,31.61,0.112,9,reviewed,mb,mb
